event_test,event_type,event_year,event_month,event_day,event_talk_title,event_plenary,event_name,event_location,event_country,event_website,event_invited,event_additional,event_remote,event_poster,event_presentation_file
,Conference,2022,,,Modéliser les dynamiques épidémiques avec priming immunitaire au sein de mélanges variétaux,,Rencontres de la Chaire Modélisation Mathématique et Biodiversité,Ecole Polytechnique - Paris,France,http://www.cmap.polytechnique.fr/chaire-mmb/meeting14122022.html,1,,,,http://www.cmap.polytechnique.fr/chaire-mmb/X_20221214/Chaire%20MMB_14Dec2022_F-Hamelin.pdf
,Conference,2022,,,The proportion of resistant hosts in mixtures should be biased towards the resistance with the lowest breaking cost,,Canadian Mathematical Society Winter Meeting,Toronto - Ontario,Canada,https://www2.cms.math.ca/Events/winter22/sessions_scientific#tmb,1,,,,
,Conference,2022,,,Host Diversification May Split Epidemic Spread into Two Successive Fronts Advancing at Different Speeds,,Canadian Mathematical Society Winter Meeting,Toronto - Ontario,Canada,https://www2.cms.math.ca/Events/winter22/sessions_scientific#mma,1,,,,
,Conference,2022,,,Optimal control of plant disease epidemics with clean seed usage,,Séminaire Automatique et épidémiologie,Fréjus,France,https://sites.google.com/view/modmagr/s%C3%A9minaire-2,1,,1,,
,Conference,2022,,,Host Diversification May Split Epidemic Spread into Two Successive Fronts Advancing at Different Speeds,,Groupe de Travail BioMaths Normand,Rouen,France,https://lmah.univ-lehavre.fr/~gtmathsbio/,1,,,,
,Conference,2022,,,Host mixtures for plant disease control: Benefits from pathogen selection and immune priming,, Seminario franco-argentino sobre agroecologia,Universidad Nacional de Rosario,Argentina,https://fcagr.unr.edu.ar/?page_id=19177,,,,,
,Conference,2022,,,Immune priming and the limited diversity of resistance genes in host mixtures,,13èmes Rencontres de Phytopathologie – Mycologie,Aussois,France,,,,,,
,Seminar,2022,,,Host Diversification May Split Epidemic Spread into Two Successive Fronts Advancing at Different Speeds,,Mathematical Biology seminar,University of Alberta - Edmonton,Canada,https://www.ualberta.ca/mathematical-biology/media-library/mathbio-seminar-poster_frederic-hamelin3.pdf,,,,,
,Seminar,2022,,,Taking advantage of pathogen diversity and immune priming to minimize disease prevalence in host mixtures: two models,,Agricultural Food & Nutritional Science Department Seminar,University of Alberta - Edmonton,Canada,,,,,,
,Seminar,2020,,,Taking advantage of pathogen diversity and plant immunity to minimize disease prevalence,,Séminaire de l’UMR Interaction-Hôte-Pathogène-Environnement,Online,France,,,,,,
,Poster,2022,,,Host Diversification May Split Epidemic Spread into Two Successive Fronts Advancing at Different Speeds,,Workshop on Advances in Mathematical Ecology,The Fields Institute - Toronto - Ontario,Canada,http://www.fields.utoronto.ca/activities/22-23/ecology,,,,,
